Dungar Druid,Secret Hunter,Handbuff Paladin,Zarimi Priest,0.5591912945478811,
Dungar Druid,Secret Hunter,Elemental Mage,Handbuff Paladin,0.5538476732482113,
Dungar Druid,Elemental Mage,Handbuff Paladin,Zarimi Priest,0.5501596344220634,
Dungar Druid,Handbuff Paladin,Zarimi Priest,Cycle Rogue,0.5491503897657127,
Dungar Druid,Secret Hunter,Zarimi Priest,Cycle Rogue,0.5481985141530094,
Dungar Druid,Secret Hunter,Handbuff Paladin,Cycle Rogue,0.5466213766259519,
Secret Hunter,Elemental Mage,Handbuff Paladin,Zarimi Priest,0.5457505166075352,
Secret Hunter,Handbuff Paladin,Zarimi Priest,Cycle Rogue,0.5457011106213968,
Dungar Druid,Secret Hunter,Elemental Mage,Zarimi Priest,0.5447585942097748,
Dungar Druid,Elemental Mage,Handbuff Paladin,Cycle Rogue,0.5442147634100658,
Dungar Druid,Secret Hunter,Elemental Mage,Cycle Rogue,0.5426275028060636,
Rainbow Death Knight,Dungar Druid,Secret Hunter,Handbuff Paladin,0.5414599393468388,
Secret Hunter,Elemental Mage,Handbuff Paladin,Cycle Rogue,0.5413355914680932,
Rainbow Death Knight,Dungar Druid,Handbuff Paladin,Zarimi Priest,0.5410111122252768,
Dungar Druid,Elemental Mage,Zarimi Priest,Cycle Rogue,0.540581993222131,
Elemental Mage,Handbuff Paladin,Zarimi Priest,Cycle Rogue,0.5403164134656515,
Dungar Druid,Secret Hunter,Handbuff Paladin,Asteroid Shaman,0.5402055523281268,
Dungar Druid,Secret Hunter,Handbuff Paladin,Control Warrior,0.5386041847399586,
Dungar Druid,Handbuff Paladin,Zarimi Priest,Asteroid Shaman,0.5385893987546613,
Dungar Druid,Secret Hunter,Handbuff Paladin,Highlander Warrior,0.538414341402975,
Dungar Druid,Handbuff Paladin,Zarimi Priest,Control Warrior,0.5378442046904416,
Dungar Druid,Handbuff Paladin,Zarimi Priest,Highlander Warrior,0.5372190155056303,
Rainbow Death Knight,Secret Hunter,Handbuff Paladin,Zarimi Priest,0.5369333485137944,
Rainbow Death Knight,Dungar Druid,Secret Hunter,Zarimi Priest,0.536930754114037,
Rainbow Death Knight,Dungar Druid,Elemental Mage,Handbuff Paladin,0.5362797879765103,
Dungar Druid,Elemental Mage,Handbuff Paladin,Asteroid Shaman,0.5354059958851348,
Secret Hunter,Elemental Mage,Zarimi Priest,Cycle Rogue,0.5347490511000225,
Dungar Druid,Elemental Mage,Handbuff Paladin,Control Warrior,0.5332838116922828,
Dungar Druid,Elemental Mage,Handbuff Paladin,Highlander Warrior,0.5330614088665659,
Dungar Druid,Secret Hunter,Zarimi Priest,Asteroid Shaman,0.5328995133161948,
Rainbow Death Knight,Secret Hunter,Elemental Mage,Handbuff Paladin,0.5323345385585936,
Secret Hunter,Handbuff Paladin,Zarimi Priest,Asteroid Shaman,0.5322090427341678,
Dungar Druid,Secret Hunter,Zarimi Priest,Control Warrior,0.5321715285878187,
Secret Hunter,Handbuff Paladin,Zarimi Priest,Control Warrior,0.53195782571245,
Dungar Druid,Secret Hunter,Zarimi Priest,Highlander Warrior,0.5316914779676756,
Secret Hunter,Handbuff Paladin,Zarimi Priest,Highlander Warrior,0.5315480550731476,
Rainbow Death Knight,Dungar Druid,Secret Hunter,Elemental Mage,0.5312346323053215,0.5312346323053215
Rainbow Death Knight,Elemental Mage,Handbuff Paladin,Zarimi Priest,0.5303170309725106,
Secret Hunter,Elemental Mage,Handbuff Paladin,Asteroid Shaman,0.5294225754650682,
Dungar Druid,Secret Hunter,Elemental Mage,Asteroid Shaman,0.5287086178955918,
Elemental Mage,Handbuff Paladin,Zarimi Priest,Asteroid Shaman,0.5282153825917035,
Rainbow Death Knight,Dungar Druid,Elemental Mage,Zarimi Priest,0.5281586977503355,
Elemental Mage,Handbuff Paladin,Zarimi Priest,Control Warrior,0.5278226887284503,
Secret Hunter,Elemental Mage,Handbuff Paladin,Control Warrior,0.527646852871609,
Secret Hunter,Elemental Mage,Handbuff Paladin,Highlander Warrior,0.527589158899888,
Elemental Mage,Handbuff Paladin,Zarimi Priest,Highlander Warrior,0.5273329663508229,
Dungar Druid,Secret Hunter,Elemental Mage,Control Warrior,0.5269555906119193,
Dungar Druid,Secret Hunter,Elemental Mage,Highlander Warrior,0.5267422372869076,
Dungar Druid,Elemental Mage,Zarimi Priest,Asteroid Shaman,0.5253751591012206,
Rainbow Death Knight,Dungar Druid,Handbuff Paladin,Cycle Rogue,0.5252264682451094,
Rainbow Death Knight,Dungar Druid,Secret Hunter,Cycle Rogue,0.5242687229419801,
Dungar Druid,Elemental Mage,Zarimi Priest,Control Warrior,0.5242434756305289,
Rainbow Death Knight,Dungar Druid,Zarimi Priest,Cycle Rogue,0.5241807986824437,
Dungar Druid,Elemental Mage,Zarimi Priest,Highlander Warrior,0.5236616557786069,
Rainbow Death Knight,Secret Hunter,Elemental Mage,Zarimi Priest,0.5234412618597851,
Rainbow Death Knight,Secret Hunter,Handbuff Paladin,Cycle Rogue,0.5222274939648212,
Rainbow Death Knight,Handbuff Paladin,Zarimi Priest,Cycle Rogue,0.5221287724679863,
Dungar Druid,Handbuff Paladin,Cycle Rogue,Asteroid Shaman,0.5215552662957136,
Rainbow Death Knight,Secret Hunter,Zarimi Priest,Cycle Rogue,0.5197534376292915,
Rainbow Death Knight,Dungar Druid,Elemental Mage,Cycle Rogue,0.5192993919679304,
Dungar Druid,Secret Hunter,Cycle Rogue,Asteroid Shaman,0.5192410455361978,
Secret Hunter,Elemental Mage,Zarimi Priest,Asteroid Shaman,0.519230901023684,
Secret Hunter,Elemental Mage,Zarimi Priest,Control Warrior,0.5186350452076871,
Secret Hunter,Elemental Mage,Zarimi Priest,Highlander Warrior,0.5182631573977152,
Rainbow Death Knight,Elemental Mage,Handbuff Paladin,Cycle Rogue,0.5174197746947664,
Dungar Druid,Zarimi Priest,Cycle Rogue,Asteroid Shaman,0.5173425723881926,
Secret Hunter,Handbuff Paladin,Cycle Rogue,Asteroid Shaman,0.5171802124462185,
Handbuff Paladin,Zarimi Priest,Cycle Rogue,Asteroid Shaman,0.5159571344479478,
Rainbow Death Knight,Dungar Druid,Handbuff Paladin,Asteroid Shaman,0.5158595456806958,
Rainbow Death Knight,Secret Hunter,Elemental Mage,Cycle Rogue,0.5150828013827187,
Rainbow Death Knight,Dungar Druid,Handbuff Paladin,Control Warrior,0.5141586952903621,
Rainbow Death Knight,Dungar Druid,Handbuff Paladin,Highlander Warrior,0.5138016519636946,
Dungar Druid,Elemental Mage,Cycle Rogue,Asteroid Shaman,0.5137649731860325,
Dungar Druid,Zarimi Priest,Cycle Rogue,Control Warrior,0.51346235557912,
Rainbow Death Knight,Elemental Mage,Zarimi Priest,Cycle Rogue,0.5134282185789402,
Dungar Druid,Secret Hunter,Cycle Rogue,Control Warrior,0.5131849070575534,
Elemental Mage,Handbuff Paladin,Cycle Rogue,Asteroid Shaman,0.5130170544764373,
Dungar Druid,Handbuff Paladin,Cycle Rogue,Control Warrior,0.5127555275099634,
Secret Hunter,Zarimi Priest,Cycle Rogue,Asteroid Shaman,0.5109968322247691,
Dungar Druid,Secret Hunter,Cycle Rogue,Highlander Warrior,0.5109879793205163,
Dungar Druid,Zarimi Priest,Cycle Rogue,Highlander Warrior,0.5109400202254928,
Handbuff Paladin,Zarimi Priest,Cycle Rogue,Control Warrior,0.510899488552877,
Dungar Druid,Handbuff Paladin,Cycle Rogue,Highlander Warrior,0.5104217935342226,
Secret Hunter,Handbuff Paladin,Cycle Rogue,Control Warrior,0.5102017956877862,
